"team_num","auto_high","auto_low","auto_gear","auto_base","tele_gear","gearDrop","tele_high","high_acc","tele_low","low_acc","defense","sweeper","climbing","composite","teamScore"
"540","0","0","1","1","2","3","0","0","5","1","0","0","1","40","76.555555555556"
"540","0","0","1","1","2","3","0","0","1","1","0","0","1","40","76.111111111111"
"540","0","0","0","1","0","0","0","0","0","0","0","0","1","8","30"
"540","0","0","0","0","2","0","0","0","0","0","0","0","1","26","51"
"540","0","0","0","1","1","0","0","0","0","0","1","0","0","20","23"
"540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"540","0","0","0","1","1","4","0","0","0","0","0","0","1","11","43"
"540","0","0","1","1","2","3","0","0","5","1","0","0","1","40","76.555555555556"
"540","0","0","1","1","1","3","0","0","1","0","0","0","1","29","63"
"540","0","0","1","1","1","5","0","0","1","0","0","0","1","25","63"
"540","0","0","1","1","2","3","0","0","5","1","0","0","1","40","76.555555555556"
"540","0","0","1","1","1","3","0","0","1","1","0","0","1","29","63.111111111111"
"540","0","0","1","1","1","5","0","0","1","0","0","0","1","25","63"
"540","0","0","1","1","2","3","0","0","5","1","0","0","1","40","76.555555555556"
"540","0","0","1","1","1","5","1","0","0","0","0","0","1","21","63"
"540","0","0","1","1","1","5","0","0","1","0","0","0","1","25","63"
